,H=5,H=6,H=7,H=8,H=9,H=10,H=11,H=12,H=13,H=14,H=15
2017-09-13,65.88451236466858,65.8866570707702,65.8873863119389,65.88754391548287,65.887577641485,65.88759033434778,65.88759917934497,65.88760033175475,65.88760105020238,65.88760114568903,65.88760124766215
2017-09-14,65.51831974156322,65.52037621076518,65.52084631851514,65.52096174982668,65.52097941546319,65.52098948077699,65.52099411966176,65.52099490636557,65.5209952960163,65.52099537790329,65.52099543200283
2017-09-15,65.59289119715177,65.59522518614529,65.59581247700804,65.59593550891601,65.59595433210325,65.59596198522428,65.5959661880277,65.59596677099863,65.59596713593012,65.59596720736339,65.59596726640578
2017-09-18,65.49262159591457,65.49512629524719,65.49570400088064,65.49581315668657,65.49583924088483,65.4958503212275,65.49585424333509,65.4958551128702,65.49585547636397,65.49585560568883,65.49585566033738
2017-09-19,65.1104820027747,65.11279701145304,65.11332569684221,65.11344165473076,65.11346626473967,65.11347630059122,65.1134788822692,65.11347965003664,65.11347986522395,65.11347998361823,65.11348001908208
2017-09-20,65.00711484404187,65.00918422169607,65.00963893177006,65.0097347193501,65.0097544449736,65.00976160375438,65.00976348409209,65.00976405294891,65.00976421445054,65.00976429875658,65.00976432241727
2017-09-21,65.03796581785917,65.04071399748251,65.04125080368895,65.04137098635675,65.04139081455538,65.04140700554227,65.04141085235779,65.04141190229295,65.04141220546805,65.04141240976719,65.04141247907631
2017-09-22,65.11846741315713,65.12135960224056,65.12195309543814,65.12209487876788,65.12211887064218,65.1221390398169,65.12214309510964,65.12214408546299,65.12214437704424,65.12214460637135,65.12214468644953
2017-09-25,65.10798928906003,65.11088545947374,65.11138077962283,65.11152383307139,65.11154461673911,65.11156578679984,65.11156805749131,65.11156881265748,65.11156900373591,65.11156928046495,65.11156934008224
2017-09-26,65.14276820485289,65.14535825006952,65.14588277766119,65.14599475022897,65.14601403971648,65.14603339800902,65.14603628222147,65.1460373781547,65.14603762970548,65.14603793974541,65.14603801995037
2017-09-27,65.08249064736248,65.08500972467237,65.08553047379021,65.08563659276214,65.0856530109787,65.08567264708343,65.08567569308131,65.08567671469386,65.08567692956967,65.0856772492798,65.08567732757759
2017-09-28,65.18417954276636,65.18676213705209,65.18736775410422,65.1874988561891,65.18752740598647,65.18755424363046,65.18755841618437,65.18755969683654,65.1875599616058,65.18756042695532,65.18756055959228
2017-09-29,65.17520448497551,65.17793137593856,65.17865059666124,65.1787913039039,65.17882489045618,65.17885184852675,65.17885693845928,65.17885844461243,65.17885875113001,65.17885927159259,65.1788594328766
2017-10-02,65.1276224137088,65.12929945345391,65.12967719321695,65.12977211487426,65.12979401589362,65.1298181419301,65.12982205259978,65.12982329324367,65.12982347573083,65.12982378993675,65.12982387125544
2017-10-03,64.92854452632945,64.93005642147885,64.93047565026585,64.9305730125951,64.93059376582468,64.93061731766576,64.93062158881462,64.93062292143269,64.93062311087458,64.9306234111528,64.93062349745195
2017-10-04,64.84909657376357,64.85062584435667,64.85096752265711,64.85106314627266,64.85108408406074,64.85110722595266,64.85111101514997,64.85111255458811,64.85111277152372,64.8511130979283,64.85111318866744
2017-10-05,64.70802662884869,64.70945009529119,64.70972747645453,64.70981984523742,64.70984066051628,64.70986139790233,64.70986463836,64.70986646112021,64.70986670105452,64.70986700069489,64.70986707752454
2017-10-06,64.66370577612629,64.66520783801529,64.66547116479488,64.66556549376325,64.66558752431172,64.66560908034717,64.66561233847176,64.66561422017904,64.66561446836546,64.66561478054997,64.66561485803784
2017-10-09,64.28519502190403,64.28702118747005,64.28739788713304,64.28748864506265,64.28750800604465,64.2875240808217,64.28752882104429,64.28753007591042,64.28753044987072,64.28753064501927,64.28753073861154
2017-10-10,64.49519669318973,64.49711330921978,64.49760595581915,64.49772165063509,64.49775033710337,64.49775899204312,64.49776358702344,64.4977643137927,64.49776461603204,64.49776471494432,64.49776477792997
2017-10-11,64.53153865567973,64.53323345519793,64.53356212067082,64.53369410305795,64.5337226696163,64.53373861708738,64.53374385240487,64.53374503913639,64.53374545855529,64.53374562323557,64.53374570309089
2017-10-12,64.50856072591087,64.50991398336666,64.51022783770304,64.51035674793813,64.51038113623892,64.51039395698915,64.51039847382863,64.51039947099481,64.51039981403359,64.51039993774859,64.51039999937672
2017-10-13,64.36016796292853,64.36151404491376,64.36180389287883,64.36192684500988,64.36194943448638,64.36196068637663,64.3619643225272,64.3619652274912,64.36196548419471,64.36196558427798,64.36196563315563
2017-10-16,64.35001816301393,64.3515372871274,64.35188552961691,64.35202503167476,64.35204970269935,64.35206361745294,64.35206822558165,64.35206939778757,64.35206965382454,64.35206975638144,64.35206981218997
2017-10-17,64.54913180513252,64.550542220393,64.55085486827502,64.55098183749044,64.55100381801245,64.55101696682719,64.55102089444281,64.55102203566064,64.55102228491684,64.55102238816151,64.55102243891194
2017-10-18,64.31405414867459,64.31589469852128,64.31625224590753,64.31640342917973,64.31643475436036,64.31645179644441,64.31645711997463,64.31645878101641,64.31645918696071,64.31645931745548,64.3164593838943
