,L=1,L=2,L=3,L=4
2015-01-20,77.1407118592308,79.07752077853334,79.59997881164598,80.77808556269161
2015-01-21,77.05535469521122,79.12095497252996,79.72328521956815,80.83448257566374
2015-01-22,77.10985532991987,79.30683803700299,79.85594245450774,80.95898892997754
2015-01-23,77.1129678507498,79.30034295073696,79.75162456931577,80.77325911904724
2015-01-26,77.21672533598648,79.2661310527039,79.84071334673966,80.85487997314178
2015-01-27,77.24818984501928,79.23924202736252,79.82862153267922,80.80468573140143
2015-01-28,77.40463506679967,79.19597947283397,80.05743339943898,81.17654444020815
2015-01-29,77.55193622831446,79.47352602196791,80.31951132632388,81.63352216501808
2015-01-30,77.08432931847268,78.96362043021085,80.16665334754788,81.28491953061219
2015-02-02,77.73260464368373,79.19493389577316,80.21410694260965,81.70051757584704
2015-02-03,77.50246547535453,78.89983086393808,79.6355179634192,81.28855792103687
2015-02-04,77.81020636824574,78.90103544840136,79.81609398248827,81.1438111808222
2015-02-05,77.1937493532248,78.2843071572037,79.367791957824,80.5532911221825
2015-02-06,77.15111749057144,78.3172562109913,79.39006925708902,80.5613818879562
2015-02-09,77.28366342350542,78.35819742524845,79.72504934769907,80.80311971122494
2015-02-10,77.26576421576301,78.26782807572172,79.6203934785039,80.6222166248083
2015-02-11,77.40270100442778,78.39969246096786,79.68955457242733,80.8934994534398
2015-02-12,77.33722573996002,78.34244985946957,79.55573448596414,80.71765587557125
2015-02-13,77.29583819646331,78.3123858609127,79.47085791903257,80.5974497650719
2015-02-16,77.26140856725992,78.30096913603501,79.40499008588338,80.4142331294402
2015-02-17,77.21727506347533,78.29900291569774,79.32868532366541,80.28695106635618
2015-02-18,77.16034719400244,78.3477446053005,79.64950909421667,80.2834513414228
2015-02-19,77.12997259034158,78.36915306523348,79.55748853791059,80.19437641022687
2015-02-20,77.16252619978212,78.30113803379362,79.54198681175991,80.22058936905385
2015-02-23,77.12183920574375,78.28721608770567,79.48501247321887,80.22886132190489
2015-02-24,77.10449551957292,78.2340776555608,79.57875241363486,80.22391049071005
2015-02-25,77.10937243948315,78.2639771200738,79.57785816203857,80.20937708198694
2015-02-26,77.15704011521434,78.30869510465097,79.57849705493629,80.1283423492246
2015-02-27,77.22720426336375,78.367389000146,79.62325663877847,80.18232857397425
2015-03-02,77.08939152748486,78.25632947909685,79.56951416754815,80.12792494172233
2015-03-03,77.1340889581317,78.3692434863968,79.59770818482048,80.2522005030453
2015-03-04,77.18218143934908,78.39195323512787,79.60608278500662,80.26764651331736
2015-03-05,77.16072616988625,78.35823895014174,79.58233856232701,80.29168660133237
2015-03-06,77.14049105372649,78.31772378572353,79.53038495309515,80.20127633690393
2015-03-09,77.19282031474842,78.3760056009637,79.59409941411357,80.27494858510929
2015-03-10,77.23469034192992,78.40937862357893,79.57168753333576,80.20907747187191
2015-03-11,77.2899349751695,78.45305577410183,79.61556613197824,80.11115073863783
2015-03-12,77.14940347145478,78.33589798888394,79.38903616720361,79.95699264684337
2015-03-13,77.11933918792847,78.18756793457766,79.29986061833783,79.95756622040525
2015-03-16,76.92387358216538,78.08132360495755,79.48904583230608,80.08260521557146
2015-03-17,76.90766436666595,78.12931076939986,79.55605198538291,80.33966292109528
2015-03-18,76.92395748989152,78.13866369289183,79.51779808849541,80.27053325363285
2015-03-19,77.22388906547332,78.3353017569549,79.59060621650676,80.39371316303287
2015-03-20,77.2674932229488,78.40359951816721,79.70518360098026,80.44203651948578
2015-03-23,77.31914621530692,78.39689134989267,79.70276991766845,80.39321857829856
2015-03-24,77.34871207420763,78.37016542394377,79.70516148795205,80.38413275734366
2015-03-25,77.31119321392555,78.3280298836669,79.70164520395404,80.44198596505314
2015-03-26,77.22411912057659,78.2689679616555,79.58131391011007,80.2739835573916
2015-03-27,77.04636692671065,78.1938595302994,79.43906876726689,80.22725751634418
2015-03-30,77.10825225141988,78.16841197387976,79.39498538839948,80.17154320175585
2015-03-31,77.07593379909713,78.15874390052196,79.50620638181543,80.22250864791532
2015-04-01,76.9963979166704,78.11015866884071,79.47980993863624,80.3453057876456
2015-04-02,76.92128821917063,78.13753884432005,79.55218260220292,80.25942728295928
